error list,fixes
"Tag: (0028,0030) DS 2 Pixel Spacing : Invalid Value for VR ","Tag: (0028,0030) DS 2 Pixel Spacing : Invalid Value for VR %%% FIX IS - see DCIODVFY Errors and Fixes Document %%%"
"Tag: (0028,0030) DS 2 Pixel Spacing : Value is zero for index 1",
"Tag: (0028,0030) DS 2 Pixel Spacing : Value is zero for index 2 ",
"Tag: (0028,0034) IS 2 Pixel Aspect Ratio : may not be present when it has a ratio of 1:1 - values are 0\0",
"Tag: (0028,0034) IS 2 Pixel Aspect Ratio : may not be present when it has a ratio of 1:1 - values are 1\1",
"Tag: (0028,0034) IS 2 Pixel Aspect Ratio : Shall not be present when PixelSpacing is present",
PixelAspectRatio may not be present when it has a ratio of 1:1 - values are 1\1,
"Tag: (0028,0034) IS 2 Pixel Aspect Ratio : May not be present when Pixel Spacing is present",
"Tag: (0028,0034) IS 2 Pixel Aspect Ratio : Shall not be present when ImagerPixelSpacing is present",
"Tag: (0028,0051) CS 1-n Corrected Image : Missing Tag : Type 2 Required Element : PETSeries","Tag: (0028,0051) CS 1-n Corrected Image : Missing Tag : Type 2 Required Element : PETSeries %%% FIX IS -  set_tag <(0028,0051)> <> %%%"
"Tag: (0028,0100) US 1 Bits Allocated : has an unrecognized enumerated value (0x8) in index ","Tag: (0028,0100) US 1 Bits Allocated : has an unrecognized enumerated value (0x8) in index 
%%% FIX IS -  If (Rows (0028,0010) * Columns (0028,0011) * Bits Allocated (0028,0100)) / 8 = value in Pixel Data (7fe0,0010) then ignore this error. If the value does not match, then need to address with DICOM expert.
For example, if:
(0028,0010) = 512, (0028,0011) = 512, (0028,0100) = 8, (7fe0,0010)= 262144
(512*512*8)/8 = 262144; this equals the value in the Pixel Data (7fe0,0010)  and the error can be ignored. %%%"
"Tag: (0028,0100) US 1 Bits Allocated : has an unrecognized enumerated value (0x8) in index 1","Tag: (0028,0100) US 1 Bits Allocated : has an unrecognized enumerated value (0x8) in index 
%%% FIX IS -  If (Rows (0028,0010) * Columns (0028,0011) * Bits Allocated (0028,0100)) / 8 = value in Pixel Data (7fe0,0010) then ignore this error. If the value does not match, then need to address with DICOM expert.
For example, if:
(0028,0010) = 512, (0028,0011) = 512, (0028,0100) = 8, (7fe0,0010)= 262144
(512*512*8)/8 = 262144; this equals the value in the Pixel Data (7fe0,0010)  and the error can be ignored. %%%"
"Tag: (0028,0101) US 1 Bits Stored : has an unrecognized enumerated value (0xc) in index","Tag: (0028,0101) US 1 Bits Stored : has an unrecognized enumerated value (0xc) in index   %%% FIX IS -  If the values are in decimal (base 10) format in Quince, ignore error %%%"
"Tag: (0028,0102) US 1 High Bit : has an unrecognized enumerated value (0xb) in index 1","Tag: (0028,0102) US 1 High Bit : has an unrecognized enumerated value (0xb) in index 1 %%% FIX IS -  If the values are in decimal (base 10) format in Quince, ignore error %%%"
"Tag: (0028,0301) CS 1 Burned In Annotation : Missing Tag : Type 1 Required Element : DXImage","Tag: (0028,0301) CS 1 Burned In Annotation : Missing Tag : Type 1 Required Element : DXImage %%% FIX IS - set_tag <0028,0301)> <NO> %%%"
"Tag: (0028,0301) CS 1 Burned In Annotation : Missing Tag : Type 1C Conditional Element : EnhancedCTImage","Tag: (0028,0301) CS 1 Burned In Annotation : Missing Tag : Type 1 Required Element : EnhancedCTImage %%% FIX IS - set_tag <0028,0301)> <NO> %%%"
"Tag: (0028,1040) CS 1 Pixel Intensity Relationship : Missing Tag : Type 1 Required Element : DXImage ",
"Tag: (0028,1050) DS 1-n Window Center : May only be present in For Presentation images","Tag: (0028,1050) DS 1-n Window Center : May only be present in For Presentation images %%% FIX IS - ignore for X-Ray %%%"
"Tag: (0028,1051) DS 1-n Window Width : Value is zero for index 1","Tag: (0028,1051) DS 1-n Window Width : Value is zero for index 1 %%% FIX IS - 
A. For 8 bit US, set_tag <(0028,1051)> <256> & set_tag <(0028,1050)> <128> 
B. If Window width and Window Center are both <1, ignore error. 
C. Otherwise, if modality is MR with image type (0008,0008) containing ""diffusion"" and ""ADC"", ignore the error if it's only the first image and the other images display %%%
"
"Tag: (0028,1052) DS 1 Rescale Intercept : Empty attribute (no value) Type 1C Conditional Element per module ModalityLUTMacro",
"Tag: (0028,1052) DS 1 Rescale Intercept : has an unrecognized enumerated value",
"Tag: (0028,1052) DS 1 Rescale Intercept : Missing Tag : Type 1 Required Element : CTImage","Tag: (0028,1052) DS 1 Rescale Intercept : Missing Tag : Type 1 Required Element : CTImage %%% FIX IS - contact site. If this is not possible, delete series %%%"
"Tag: (0028,1053) DS 1 Rescale Slope : Empty attribute (no value) Type 1C Conditional Element per module ModalityLUTMacro","Tag: (0028,1053) DS 1 Rescale Slope : Empty attribute (no value) Type 1C Conditional Element per module ModalityLUTMacro %%% FIX IS - Ignore if modality is CR. If other modality, contact site. If not possible to contact site, ask Bill."
"Tag: (0028,1053) DS 1 Rescale Slope : Missing Tag : Type 1 Required Element : CTImage","Tag: (0028,1053) DS 1 Rescale Slope : Missing Tag : Type 1 Required Element : CTImage  %%% FIX IS - contact site. If this is not possible, delete series %%%"
"Tag: (0028,1054) LO 1 Rescale Type : Empty attribute (no value) Type 1C Conditional Element per module CTImage","Tag: (0028,1054) LO 1 Rescale Type : Empty attribute (no value) Type 1C Conditional Element per module CTImage %%% FIX IS - If the Multi-energy CT Acquisition (0018,9361) tag is YES - you can ask the site but if the site cannot answer, please check with DICOM staff. (I don't think you can ignore it).
If the Multi-energy CT Acquisition (0018,9361) tag is not YES, you can ask site for unit value Rescale type (0028,1054). If you cannot ask site, you can assume it is the default of HU. You can ignore error.
If the site says Rescale Type (0028,1054) tag is not HU, then set_tag to the value the site provides.
HU is the default, it's not required that we set the Rescale Type (0028,1054) tag to HU unless (0018,9361) is YES or the site says the tag is not HU. %%%"
"Tag: (0028,1054) LO 1 Rescale Type : If RescaleType is present, must be HU for ORIGINAL non- LOCALIZER images","Tag: (0028,1054) LO 1 Rescale Type : If RescaleType is present, must be HU for ORIGINAL non- LOCALIZER images %%% FIX IS - delete_tag <(0028,1054)> <> %%%"
"Tag : (0028,1054) LO 1 Rescale Type : If RescaleType is present, must be HU for ORIGINAL non-LOCALIZER images","Tag: (0028,1054) LO 1 Rescale Type : If RescaleType is present, must be HU for ORIGINAL non- LOCALIZER images %%% FIX IS - delete_tag <(0028,1054)> <> %%%"
"Tag: (0028,1054) LO 1 Rescale Type : If RescaleType is present, must be HU for ORIGINAL non-LOCALIZER images","Tag: (0028,1054) LO 1 Rescale Type : If RescaleType is present, must be HU for ORIGINAL non-LOCALIZER images %%% FIX IS - delete_tag <(0028,1054)> <> %%%"
"Tag: (0028,1054) LO 1 Rescale Type : If RescaleType is present and not multi-energy acquisition, must be HU for ORIGINAL non-LOCALIZER images","Tag: (0028,1054) LO 1 Rescale Type : If RescaleType is present and not multi-energy acquisition, must be HU for ORIGINAL non-LOCALIZER images %%% FIX IS - If not multi-energy acquisition, change to HU or appropriate value. If multi-energy acquisition, make sure (0018,9361) is set to “YES” %%%"
"Tag: (0028,1054) LO 1 Rescale Type : Missing Tag : Type 1C Conditional Element : ModalityLUTMacro",
"Tag: (0028,1101) US or SS 3 Red Palette Color Lookup Table Descriptor : is conditional and is present when condition not satisfied : per ImagePixelMacro module",
"Tag: (0028,1101) US or SS 3 Red Palette Color Lookup Table Descriptor : is conditional and is present when condition not satisfied : per ImagePixelDescriptionMacro module",
"Tag: (0028,1101) US or SS 3 Red Palette Color Lookup Table Descriptor : Missing Tag : Type 1C Conditional Element : ImagePixelMacro","Tag: (0028,1101) US or SS 3 Red Palette Color Lookup Table Descriptor : Missing Tag : Type 1C Conditional Element : ImagePixelMacro %%% FIX IS - Ignore Error. Check tag (0028,004) and if value is ""RGB"" then we SHOULD have a palette lookup table but it may not need to have it in TCIA. %%%"
"Tag: (0028,1102) US or SS 3 Green Palette Color Lookup Table Descriptor : is conditional and is present when condition not satisfied : per ImagePixelMacro module",
"Tag: (0028,1102) US or SS 3 Green Palette Color Lookup Table Descriptor : Missing Tag : Type 1C Conditional Element : ImagePixelMacro","Tag: (0028,1102) US or SS 3 Green Palette Color Lookup Table Descriptor : Missing Tag : Type 1C Conditional Element : ImagePixelMacro %%% FIX IS - Ignore Error. Check tag (0028,004) and if value is ""RGB"" then we SHOULD have a palette lookup table but it may not need to have it in TCIA. %%%"
"Tag: (0028,1102) US or SS 3 Green Palette Color Lookup Table Descriptor : is conditional and is present when condition not satisfied : per ImagePixelDescriptionMacro module",
"Tag: (0028,1103) US or SS 3 Blue Palette Color Lookup Table Descriptor : is conditional and is present when condition not satisfied : per ImagePixelMacro module",
"Tag: (0028,1103) US or SS 3 Blue Palette Color Lookup Table Descriptor : is conditional and is present when condition not satisfied : per ImagePixelDescriptionMacro module",
"Tag: (0028,1103) US or SS 3 Blue Palette Color Lookup Table Descriptor : Missing Tag : Type 1C Conditional Element : ImagePixelMacro","Tag: (0028,1103) US or SS 3 Blue Palette Color Lookup Table Descriptor : Missing Tag : Type 1C Conditional Element : ImagePixelMacro %%% FIX IS - Ignore Error. Check tag (0028,004) and if value is ""RGB"" then we SHOULD have a palette lookup table but it may not need to have it in TCIA. %%%"
"Tag: (0028,1201) OW 1 Red Palette Color Lookup Table Data : is conditional and is present when condition not satisfied : per ImagePixelMacro module",
"Tag: (0028,1201) OW 1 Red Palette Color Lookup Table Data : Missing Tag : Type 1C Conditional Element : ImagePixelMacro"," Tag: (0028,1201) OW 1 Red Palette Color Lookup Table Data : Missing Tag : Type 1C Conditional Element : ImagePixelMacro %%% FIX IS - Ignore Error. Check tag (0028,004) and if value is ""RGB"" then we SHOULD have a palette lookup table but it may not need to have it in TCIA. %%%"
"Tag: (0028,1201) OW 1 Red Palette Color Lookup Table Data : is conditional and is present when condition not satisfied : per ImagePixelDescriptionMacro module",
"Tag: (0028,1202) OW 1 Green Palette Color Lookup Table Data : is conditional and is present when condition not satisfied : per ImagePixelMacro module",
"Tag: (0028,1202) OW 1 Green Palette Color Lookup Table Data : Missing Tag : Type 1C Conditional Element : ImagePixelMacro","Tag: (0028,1202) OW 1 Green Palette Color Lookup Table Data : Missing Tag : Type 1C Conditional Element : ImagePixelMacro %%% FIX IS - Ignore Error. Check tag (0028,004) and if value is ""RGB"" then we SHOULD have a palette lookup table but it may not need to have it in TCIA. %%%"
"Tag: (0028,1202) OW 1 Green Palette Color Lookup Table Data : is conditional and is present when condition not satisfied : per ImagePixelDescriptionMacro module",
"Tag: (0028,1203) OW 1 Blue Palette Color Lookup Table Data : is conditional and is present when condition not satisfied : per ImagePixelMacro module",
"Tag: (0028,1203) OW 1 Blue Palette Color Lookup Table Data : is conditional and is present when condition not satisfied : per ImagePixelDescriptionMacro module",
"Tag: (0028,1203) OW 1 Blue Palette Color Lookup Table Data : Missing Tag : Type 1C Conditional Element : ImagePixelMacro","Tag: (0028,1203) OW 1 Blue Palette Color Lookup Table Data : Missing Tag : Type 1C Conditional Element : ImagePixelMacro %%% FIX IS - Ignore Error. Check tag (0028,004) and if value is ""RGB"" then we SHOULD have a palette lookup table but it may not need to have it in TCIA. %%%"
"Tag: (0028,2110) CS 1 Lossy Image Compression : has an unrecognized enumerated value (1) in index","Tag: (0028,2110) CS 1 Lossy Image Compression : has an unrecognized enumerated value (1) in index %%% FIX IS - set_tag <(0028,2110)> <01> <> %%%"
"Tag: (0028,3002) US or SS 3 LUT Descriptor : has an unrecognized enumerated value (0xc) in index 3 ","Tag: (0028,3002) US or SS 3 LUT Descriptor : has an unrecognized enumerated value (0xc) in index 3 %%% FIX IS - ignore for X-Ray %%%"
"Tag: (0028,3003) LO 1 LUT Explanation : Missing Tag : Type 1 Required Element : RealWorldValueMappingItemMacro",
"Tag: (0028,3010) SQ 1 VOI LUT Sequence : May only be present in For Presentation images ","Tag: (0028,3010) SQ 1 VOI LUT Sequence : May only be present in For Presentation images %%% FIX IS - Ignore for. X-Ray %%%"
"Tag: (0029,1110) : Invalid Value for VR : -2 : Character invalid for this VR : '-' (0x2d)","Tag: (0029,1110) : Invalid Value for VR : -2 : Character invalid for this VR : '-' (0x2d) %%% FIX IS - this is a private tag with disposition of D, you can delete or ignore tag %%%"
"Tag: (0029,1111) : Invalid Value for VR : -2 : Character invalid for this VR : '-' (0x2d)","Tag: (0029,1111) : Invalid Value for VR : -2 : Character invalid for this VR : '-' (0x2d) %%% FIX IS - this is a private tag with disposition of D, you can delete or ignore tag %%%"
"Tag: (0029,1112) : Invalid Value for VR : -2 : Character invalid for this VR : '-' (0x2d)","Tag: (0029,1112) : Invalid Value for VR : -2 : Character invalid for this VR : '-' (0x2d) %%% FIX IS - this is a private tag with disposition of D, you can delete or ignore tag %%%"
"Tag: (0029,1113) : Invalid Value for VR : -2 : Character invalid for this VR : '-' (0x2d)","Tag: (0029,1113) : Invalid Value for VR : -2 : Character invalid for this VR : '-' (0x2d) %%% FIX IS - this is a private tag with disposition of D, you can delete or ignore tag %%%"
"Tag: (0040,0031) UT 1 Local Namespace Entity ID : Empty attribute (no value) Type 1C Conditional Element per module HL7v2HierarchicDesignatorMacro","Tag: (0040,0031) UT 1 Local Namespace Entity ID : Empty attribute (no value) Type 1C Conditional Element per module HL7v2HierarchicDesignatorMacro %%% FIX IS - to look at DICOM dump and search for ""sequence"". If the sequence is empty and type 3, delete sequence. The tags in the sequence are likely to contain PHI and the sequence should be deleted. Please address with technical staff if the Sequence is not type 3; if there is other data in the sequence, it may contain PHI and should be carefully reviewed. %%%"
"Tag: (0040,0031) UT 1 Local Namespace Entity ID : Missing Tag : Type 1C Conditional Element : HL7v2HierarchicDesignatorMacro","Tag: (0040,0031) UT 1 Local Namespace Entity ID : Missing Tag : Type 1C Conditional Element : HL7v2HierarchicDesignatorMacro %%% FIX IS - to look at DICOM dump and search for ""sequence"". If the sequence is empty and type 3, delete sequence. The tags in the sequence are likely to contain PHI and the sequence should be deleted. Please address with technical staff if the Sequence is not type 3; if there is other data in the sequence, it may contain PHI and should be carefully reviewed. %%%"
"Tag: (0040,0032) UT 1 Universal Entity ID : Missing Tag : Type 1C Conditional Element : HL7v2HierarchicDesignatorMacro","Tag: (0040,0032) UT 1 Universal Entity ID : Missing Tag : Type 1C Conditional Element : HL7v2HierarchicDesignatorMacro %%% FIX IS - to look at DICOM dump and search for ""sequence"". If the sequence is empty and type 3, delete sequence. The tags in the sequence are likely to contain PHI and the sequence should be deleted. Please address with technical staff if the Sequence is not type 3; if there is other data in the sequence, it may contain PHI and should be carefully reviewed. %%%"
"Tag: (0040,0245) TM 1 Performed Procedure Step Start Time : Invalid Value for VR ","Tag: (0040,0245) TM 1 Performed Procedure Step Start Time : Invalid Value for VR %%% FIX IS - see DCIODVFY Errors and Fixes Document %%%"
"Tag: (0040,0555) SQ 1 Acquisition Context Sequence : Missing Tag : Type 2 Required Element : AcquisitionContext ","Tag: (0040,0555) SQ 1 Acquisition Context Sequence : Missing Tag : Type 2 Required Element : AcquisitionContext %%% FIX IS - set_tag <(0040,0555)> <> NOTE: When a sequence tag (ex. 0040,0555) is emptied or set_tag <>, it will result in ""no text value found"" in the PHI scan review; this is okay and there is no need to empty the tag (again) for those series.  %%%"
"Tag: (0040,08ea) SQ 1 Measurement Units Code Sequence : Missing Tag : Type 1 Required Element : RealWorldValueMappingItemMacro",
"Tag: (0040,9210) SH 1 LUT Label : Missing Tag : Type 1 Required Element : RealWorldValueMappingItemMacro",
"Tag: (0040,9211) US or SS 1 Real World Value Last Value Mapped : Missing Tag : Type 1C Conditional Element : RealWorldValueMappingItemMacro",
"Tag: (0040,9213) FD 1 Double Float Real World Value Last Value Mapped : Missing Tag : Type 1C Conditional Element : RealWorldValueMappingItemMacro",
"Tag: (0040,9214) FD 1 Double Float Real World Value First Value Mapped : Missing Tag : Type 1C Conditional Element : RealWorldValueMappingItemMacro",
"Tag: (0040,9216) US or SS 1 Real World Value First Value Mapped : Missing Tag : Type 1C Conditional Element : RealWorldValueMappingItemMacro",
"Tag: (0040,a040) CS 1 Value Type : Missing Tag : Type 1 Required Element : ContentItemMacro","Tag: (0040,a040) CS 1 Value Type : Missing Tag : Type 1 Required Element : ContentItemMacro %%% FIX IS - If Secondary Capture, ignore error. If not SC check with site if possible, otherwise, ignore.%%%"
"Tag: (0040,a043) SQ 1 Concept Name Code Sequence : Missing Tag : Type 1 Required Element : AcquisitionContext ",
"Tag: (0040,a043) SQ 1 Concept Name Code Sequence : Missing Tag : Type 1 Required Element : ContentItemMacro","Tag: (0040,a043) SQ 1 Concept Name Code Sequence : Missing Tag : Type 1 Required Element : ContentItemMacro %%% FIX IS - If Secondary Capture, ignore error. If not SC check with site if possible, otherwise, ignore.%%%"
"Tag: (0040,a075) PN 1 Verifying Observer Name : Empty attribute (no value) Type 1 Required Element per module SRDocumentGeneral. ","Tag: (0040,a075) PN 1 Verifying Observer Name : Empty attribute (no value) Type 1 Required Element per module SRDocumentGeneral. %%% FIX IS - If this error is present with missing tags (0040,a030), (0040,a027), (0040,a088) ignore but mark series bad during visual review. Contains SR document that may contain PHI - keeping images with modality SR is Collection dependent>"
"Tag: (0040,a123) PN 1 Person Name : Empty attribute (no value) Type 1C Conditional Element per module DocumentContentMacro ","Tag: (0040,a123) PN 1 Person Name : Empty attribute (no value) Type 1C Conditional Element per module DocumentContentMacro %%% FIX IS - delete_tag <(0040,a123)>  %%%"
"Tag: (0040,a160) UT 1 Text Value : Missing Tag : Type 1C Conditional Element : DocumentContentMacro ","Tag: (0040,a160) UT 1 Text Value : Missing Tag : Type 1C Conditional Element : DocumentContentMacro %%% FIX IS - delete_tag <(0040,a160)> %%%"
"Tag: (0040,a168) SQ 1 Concept Code Sequence : Missing Tag : Type 1 Required Element : CodeMacro","Tag: (0040,a168) SQ 1 Concept Code Sequence : Missing Tag : Type 1 Required Element : CodeMacro %%%  FIX IS - to look at DICOM dump and search for ""sequence"". If sequence is empty and type 3 or empty and sequence is optional, delete sequence. Otherwise, ignore error %%%"
"Tag: (0040,a168) SQ 1 Concept Code Sequence : Missing Tag : Type 1C Conditional Element : AcquisitionContext","Tag: (0040,a168) SQ 1 Concept Code Sequence : Missing Tag : Type 1C Conditional Element : AcquisitionContext %%% FIX IS -  If this error is present with missing tags (0040,a121), (0040,a123), (0040,a160), (0040,a122) the Acquisition Context Sequence is not correct, empty_tag (0040,0555) will likely remove the error. NOTE: When a sequence tag (ex. 0040,0555) is emptied, it will result in ""no text value found"" in the PHI scan review; this is okay and there is no need to empty the tag (again) for those series.  %%%"
"Tag: (0040,a168) SQ 1 Concept Code Sequence : is conditional and is present when condition not satisfied : per ContentItemMacro module","Tag: (0040,a168) SQ 1 Concept Code Sequence : is conditional and is present when condition not satisfied : per ContentItemMacro module %%% FIX IS - check if tag (0040,A040) has a value of ""CODE"". If the value ""CODE"" is present, this is a false error and can be ignored. If not, then the tag (0040,a168) is present but not required. Review the series, if useful values are present in the tag (0040,0555) sequence, then delete_tag (0040,0555)[0](0040,a168) where the value [0] is dependent on where the tag is populated in the sequence. If there isn't any thing of value in (0040,0555) sequence, then empty_tag (0040,0555) NOTE: When a sequence tag (ex. 0040,0555) is emptied, it will result in ""no text value found"" in the PHI scan review; this is okay and there is no need to empty the tag (again) for those series.  %%%"
"Tag: (0040,a170) SQ 1 Purpose of Reference Code Sequence : Missing Tag : Type 1 Required Element : SOPCommon ","Tag: (0040,a170) SQ 1 Purpose of Reference Code Sequence : Missing Tag : Type 1 Required Element : SOPCommon %%% FIX IS - If this error is present with missing tag (0008,0070) then delete_tag <(0018,a001)> %%%"
,
"Tag: (0040,a170) SQ 1 Purpose of Reference Code Sequence : Missing Tag : Type 2 Required Element : GeneralSeries","Tag: (0040,a170) SQ 1 Purpose of Reference Code Sequence : Missing Tag : Type 2 Required Element : GeneralSeries  %%%  FIX IS - to look at DICOM dump and search for ""sequence"". If sequence is empty and type 3 or empty and sequence is optional, delete sequence. Otherwise, ignore error %%%"
"Tag: (0040,a30a) DS 1-n Numeric Value : Missing Tag : Type 1C Conditional Element : AcquisitionContext",
"Tag: (0040,a730) SQ 1 Content Sequence : Empty attribute (no value) Type 1C Conditional Element per ","Tag: (0040,a730) SQ 1 Content Sequence : Empty attribute (no value) Type 1C Conditional Element per %%%  FIX IS -  to look at DICOM dump and search for ""sequence"". If sequence is empty and type 3 or empty and sequence is optional, delete sequence. Otherwise, ignore error %%%"
"Tag: (0050,0065) Unrecognized public tag: (0050,0065) ","Tag: (0050,0065) Unrecognized public tag: (0050,0065) %%% FIX IS - delete_tag <(0050,0065)> %%%"
"Tag: (0054,0010) US 1-n Energy Window Vector : is conditional and is present when condition not satisfied : per NMMultiFrame module","Tag: (0054,0010) US 1-n Energy Window Vector : is conditional and is present when condition not satisfied : per NMMultiFrame module 
%%% FIX IS - If you see this error with the following:
Tag: (0028,0009) AT 1-n Frame Increment Pointer : Missing Tag : Type 1 Required Element : NMMultiFrame
Tag: (0054,0020) US 1-n Detector Vector : is conditional and is present when condition not satisfied : per NMMultiFrame module
Tag: (0054,0090) US 1-n Angular View Vector : is conditional and is present when condition not satisfied : per NMMultiFrame module
Tag: (0054,0050) US 1-n Rotation Vector : is conditional and is present when condition not satisfied : per NMMultiFrame module
You will need to:
NOTES: Need to check if the imaging data is Big Endian or Little Endian in Tag (0002,0010); Need to convert the Hex Tags to Decimal values using a Hex to Decimal Converter like  the one found here: https://www.rapidtables.com/convert/number/hex-to-decimal.html; 
The value you enter for the Hex value is dependent on whether your data is Big Endian or Little Endian.  If it is Big Endian you enter the 4 digit group first then the 4 digit element like 00540020, but if it is Little Endian, you enter the 4 digit element first then the 4 digit group like 00200054. The Decimal value returned is what is entered into the val1 of the set_tag command.
A.    If tag (0054,0010) exists in the image header, set_tag (0028,0009)[0] <1048660> <> (where 1048660 is the decimal equivalent of 00100054 if the value in tag (0002,0010) is Little Endian or 5505040 if it is Big Endian). Note: if (0054,0010) doesn't exist, do not make the edit.
B.   If tag (0054,0020) exists in the image header, set_tag (0028,0009)[1] <2097236> <> (where 2097236 is the decimal equivalent of 00200054 if the value in tag (0002,0010) is Little Endian or 5505056 if it is Big Endian) Note: if (0054,0020) doesn't exist, do not make the edit.
C.   If tag (0054,0050) exists in the image header, set_tag (0028,0009)[2] <5242964> <> (where 5242964 is the decimal equivalent of 00500054 if the value in tag (0002,0010) is Little Endian or 5505104 if it is Big Endian) Note: if (0054,0050) doesn't exist, do not make the edit.
D.    If tag (0054,0090) exists in the image header, set_tag (0028,0009)[3] <9437268> <> (where 9437268 is the decimal equivalent of 00900054 if the value in tag (0002,0010) is Little Endian or 5505168 if it is Big Endian) Note: if (0054,0090) doesn't exist, do not make the edit.
%%%"
"Tag: (0054,0061) US 1 Number of R-R Intervals : is conditional and is present when condition not satisfied : per PETSeries module ","Tag: (0054,0061) US 1 Number of R-R Intervals : is conditional and is present when condition not satisfied : per PETSeries module %%% FIX IS - Delete_tag <(0054,0061)> <> <> if Tag (0054,1000), Value 1 is not GATED %%%"
"Tag: (0054,0071) US 1 Number of Time Slots : is conditional and is present when condition not satisfied : per PETSeries module ","Tag: (0054,0071) US 1 Number of Time Slots : is conditional and is present when condition not satisfied : per PETSeries module %%% FIX IS - Delete_tag <(0054,0071)> <> <> if Tag (0054,1000), Value 1 is not GATED %%%"
"Tag: (0054,0081) US 1 Number of Slices : is conditional and is present when condition not satisfied : per NMMultiFrame module","Tag: (0054,0081) US 1 Number of Slices : is conditional and is present when condition not satisfied : per NMMultiFrame module %%% FIX IS - If this error is present with the following: 
Tag: (0054,0080) US 1-n Slice Vector : is conditional and is present when condition not satisfied : per NMMultiFrame module
Tag: (0028,0009) AT 1-n Frame Increment Pointer : Missing Tag : Type 1 Required Element : NMMultiFrame --> tag missing
Lowest value in vector is not one for Attribute (0x0054,0x0080) Slice Vector, but rather is 9
Specified number of vector values does not match actual values in vector for Attribute (0x0054,0x0081) Number of Slices, which has value 16, whereas the highest value found in (0x0054,0x0080) Slice Vector is 9
You will Multiple the values in tags (0028,0010) and (0028,0011) (Rows and columns respectively) by the value in tag (0028,0100) (Bits Allocated)/8 and if it equals the value in tag (7fe0,0010) and the value in tag (0028,0008) (Number of Frames) = 1 – ignore the error (but check with Bill if you see this error)
Example:Value in (0028,0010) aka Rows is 128
Value in (0028,0011) aka Columns is also 128
Value in (0028,0100) aka Bits Allocated is 16
128*128*16=262144
262144/8=32768
Value in (7fe0,0010) aka Pixel Data is 32768
Value in (0028,0008) aka Number of Frames is 1"
"Tag: (0054,0101) US 1 Number of Time Slices : is conditional and is present when condition not satisfied : per PETSeries module",
"Tag: (0054,1004) CS 1 Reprojection Method : Missing Tag : Type 2C Conditional Element : PETSeries ","Tag: (0054,1004) CS 1 Reprojection Method : Missing Tag : Type 2C Conditional Element : PETSeries %%% FIX IS - set_tag <(0054,1004)> <> %%%"
"Tag: (0054,1300) DS 1 Frame Reference Time : Missing Tag : Type 1 Required Element : PETImage",
"Tag: (0054,1321) DS 1 Decay Factor : Missing Tag : Type 1C Conditional Element : PETImage",
"Tag: (0054,1321) DS 1 Decay Factor : Missing Tag : Type 1C Conditional Element : PETImage ","Tag: (0054,1321) DS 1 Decay Factor : Missing Tag : Type 1C Conditional Element : PETImage %%% FIX IS - if the file is a MIP then ignore error  - if not, ask site or Tracy/Bill%%%"
"Tag: (0054,1330) US 1 Image Index : Missing Tag : Type 1 Required Element : PETImage",
"Tag: (0070,0002) CS 1 Graphic Layer : Invalid Value for VR","Tag: (0070,0002) CS 1 Graphic Layer : Invalid Value for VR %%% FIX IS - if character invalid error, fix format OR if length is invalid, modify text to correct length %%%"
"Tag: (0070,0082) DA 1 Presentation Creation Date : Empty attribute (no value) Type 1 Required Element per module PresentationStateIdentification",
"Tag: (0070,0083) TM 1 Presentation Creation Time : Empty attribute (no value) Type 1 Required Element per module PresentationStateIdentification ",
"Tag: (0070,0102) IS 2 Presentation Pixel Aspect Ratio : Invalid Value for VR ","Tag: (0070,0102) IS 2 Presentation Pixel Aspect Ratio : Invalid Value for VR %%% FIX IS - if character invalid error, fix format OR if length is invalid, modify text to correct length %%%"
"Tag: (01f1,1002) : Invalid Value for VR : ","Tag: (01f1,1002) : Invalid Value for VR  %%% FIX IS - if character invalid error, fix format OR if length is invalid, modify text to correct length; delete_tag if cannot correct%%%"
"Tag: (01f1,1026) : Invalid Value for VR","Tag: (01f1,1026) : Invalid Value for VR %%% FIX IS - if character invalid error, fix format OR if length is invalid, modify text to correct length; delete_tag if cannot correct %%%"
"Tag: (0400,0550) SQ 1 Modified Attributes Sequence : Missing Tag : Type 1 Required Element : SOPCommon ","Tag: (0400,0550) SQ 1 Modified Attributes Sequence : Missing Tag : Type 1 Required Element : SOPCommon  %%% FIX IS -  If this error is present with missing tags (0040,0562), (0400,0563), (0400,0564) as well, Bad Sequence number of Items 2 (1 Required by Module definition) Element=<ModifiedAttributesSequence>  see DCIODVFY Errors and Fixes Document %%%"
"Tag: (0400,0562) DT 1 Attribute Modification DateTime : Missing Tag : Type 1 Required Element : SOPCommon ","Tag: (0400,0562) DT 1 Attribute Modification DateTime : Missing Tag : Type 1 Required Element : SOPCommon %%% FIX IS - If this error is present with missing tags (0040,0563), (0400,0565), (0400,0564) as well, then delete_tag <(0400,0561)> %%%"
"Tag: (200b,1027) : Invalid Value for VR : 30000101000000.000000 : Character invalid for this VR : '3' (0x33) ",
"Tag: (2050,0020) CS 1 Presentation LUT Shape : Missing Tag : Type 1 Required Element : DXImage",
